bird_name,item_taxon,diet_percentage
Red-eyed Vireo,Tracheophyta [vascular plants],22.582
Red-eyed Vireo,Unid. Animalia,26.4
Steller's Jay,Arthropoda [arthropods],70.00000010000001
Steller's Jay,Tracheophyta [vascular plants],25.5
Steller's Jay,Unid. Non-biological,4.5
California Scrub-Jay,Arthropoda [arthropods],99.63333333333333
Clark's Nutcracker,Arthropoda [arthropods],13.3
Clark's Nutcracker,Chordata [chordates],3.1
Clark's Nutcracker,Tracheophyta [vascular plants],83.60000000000001
American Crow,Arthropoda [arthropods],16.98952380952381
American Crow,Tracheophyta [vascular plants],65.38428571428572
American Crow,Unid. Animalia,14.039047619047622
American Crow,Unid. Plantae,3.2857142857142856
Northwestern Crow,Annelida [annelids],5.4845891
Northwestern Crow,Arthropoda [arthropods],64.55531669999998
Northwestern Crow,Chordata [chordates],4.5164189
Northwestern Crow,Echinodermata [echinoderms],7.585250199999999
Northwestern Crow,Mollusca [molluscs],12.2294462
Northwestern Crow,Unid. Animalia,4.514394
Common Raven,Arthropoda [arthropods],53.996138
Common Raven,Chordata [chordates],28.3
Common Raven,Tracheophyta [vascular plants],17.596565000000002
Horned Lark,Arthropoda [arthropods],37.59666666666667
Horned Lark,Tracheophyta [vascular plants],57.15
Horned Lark,Unid. Animalia,5.333333333333333
Purple Martin,Arthropoda [arthropods],99.69696445
Tree Swallow,Arthropoda [arthropods],57.60000000000001
Tree Swallow,Tracheophyta [vascular plants],22.25
Tree Swallow,Unid. Animalia,20
Violet-green Swallow,Arthropoda [arthropods],100.0000002
Northern Rough-winged Swallow,Arthropoda [arthropods],100.11370566666665
Cliff Swallow,Arthropoda [arthropods],97.1
Cliff Swallow,Unid. Animalia,1.5
Barn Swallow,Arthropoda [arthropods],97.61
Barn Swallow,Unid. Animalia,2.333333333333333
Black-capped Chickadee,Arthropoda [arthropods],43.94
Black-capped Chickadee,Tracheophyta [vascular plants],17.1125
Black-capped Chickadee,Unid. Animalia,38.87500000000001
Chestnut-backed Chickadee,Arthropoda [arthropods],16.857142857142858
Chestnut-backed Chickadee,Tracheophyta [vascular plants],18.45714285714286
Chestnut-backed Chickadee,Unid. Animalia,57.97142857142857
Bushtit,Arthropoda [arthropods],89.63333333333333
Red-breasted Nuthatch,Arthropoda [arthropods],83.00920239999999
Red-breasted Nuthatch,Tracheophyta [vascular plants],16.990797549999996
Brown Creeper,Arthropoda [arthropods],85.6
Brown Creeper,Tracheophyta [vascular plants],8
Brown Creeper,Unid. Animalia,6.4
Bewick's Wren,Arthropoda [arthropods],96
Bewick's Wren,Tracheophyta [vascular plants],3
House Wren,Arthropoda [arthropods],96.165
House Wren,Tracheophyta [vascular plants],3.71
Marsh Wren,Arthropoda [arthropods],98
Marsh Wren,Tracheophyta [vascular plants],2
Golden-crowned Kinglet,Arthropoda [arthropods],79.55714285714285
Golden-crowned Kinglet,Tracheophyta [vascular plants],10.014285714285716
