bird_name,item_taxon,diet_percentage
Eurasian Wigeon,Ulvales [sea lettuces and allies],1.4400000000000002
Eurasian Wigeon,Unid. Magnoliopsida,7.326666666666667
Eurasian Wigeon,Unid. Tracheophyta,56.73333333333333
American Wigeon,Alismatales [water plantains and allies],20.307
American Wigeon,"Caryophyllales [pinks, cactuses, and allies]",1.6145
American Wigeon,Commelinales [spiderworts and allies],1.06
American Wigeon,Diptera [flies],1.093
American Wigeon,Odonata [dragonflies and damselflies],1.016
American Wigeon,"Poales [grasses, sedges, and allies]",24.201
American Wigeon,"Ranunculales [buttercups, poppies, and allies]",2.1865
American Wigeon,Trichoptera [caddisflies],1.608
American Wigeon,Unid. Animalia,4.2515
American Wigeon,Unid. Plantae,2.992
American Wigeon,Unid. Tracheophyta,33.032000000000004
Mallard,Alismatales [water plantains and allies],6.917777777777778
Mallard,Basommatophora,2.053333333333333
Mallard,"Fagales [beeches, oaks, walnuts, and allies]",6.155555555555556
Mallard,"Poales [grasses, sedges, and allies]",24.31222222222222
Mallard,"Saxifragales [saxifrages, stonecrops, and allies]",1.086666666666667
Mallard,Trichoptera [caddisflies],1.1111111111111112
Mallard,Unid. Animalia,4.417777777777777
Mallard,Unid. Annelida,4.732222222222223
Mallard,Unid. Arthropoda,3.424444444444445
Mallard,Unid. Gastropoda,1.933333333333333
Mallard,Unid. Insecta,4.7188888888888885
Mallard,Unid. Magnoliopsida,2.6944444444444446
Mallard,Unid. Mollusca,1.1111111111111112
Mallard,Unid. Tracheophyta,31.21222222222222
Blue-winged Teal,Alismatales [water plantains and allies],1.1
Blue-winged Teal,Basommatophora,4.973636363636364
Blue-winged Teal,Charales,8.960909090909091
Blue-winged Teal,Diplostraca [clam shrimps and water fleas],1.5663636363636364
Blue-winged Teal,Diptera [flies],4.382727272727272
Blue-winged Teal,Diptera nymph [flies],4.181818181818182
Blue-winged Teal,"Poales [grasses, sedges, and allies]",13.635454545454548
Blue-winged Teal,Trichoptera [caddisflies],1.1254545454545457
Blue-winged Teal,Unid. Animalia,11.553636363636365
Blue-winged Teal,Unid. Arthropoda,1.3663636363636362
Blue-winged Teal,Unid. Gastropoda,5.567272727272728
Blue-winged Teal,Unid. Insecta,2.02
Blue-winged Teal,Unid. Magnoliopsida,7.177272727272726
Blue-winged Teal,Unid. Tracheophyta,26.098181818181818
Cinnamon Teal,Basommatophora,1.645
Cinnamon Teal,Diplostraca [clam shrimps and water fleas],2.17625
Cinnamon Teal,Diptera [flies],12.69625
Cinnamon Teal,Diptera larva [flies],3.23875
Cinnamon Teal,"Hemiptera [true bugs, hoppers, aphids, and allies]",1.6375000000000002
Cinnamon Teal,"Poales [grasses, sedges, and allies]",12.791249999999998
Cinnamon Teal,Unid. Animalia,9.905
Cinnamon Teal,Unid. Gastropoda,1.4925000000000002
Cinnamon Teal,Unid. Magnoliopsida,9.01875
Cinnamon Teal,Unid. Tracheophyta,42.19875
Northern Shoveler,Alismatales [water plantains and allies],2.493333333333333
Northern Shoveler,Ceratophyllales [coontails],2.1544444444444446
Northern Shoveler,Charales,2.8344444444444443
Northern Shoveler,Diplostraca [clam shrimps and water fleas],12.147777777777778
Northern Shoveler,Diptera [flies],1.5722222222222224
Northern Shoveler,Foraminiferida,1.8144444444444443
Northern Shoveler,"Hemiptera [true bugs, hoppers, aphids, and allies]",6.462222222222221
Northern Shoveler,"Poales [grasses, sedges, and allies]",1.0200000000000002
Northern Shoveler,Unid. Animalia,19.224444444444444
Northern Shoveler,Unid. Gastropoda,16.894444444444442
Northern Shoveler,Unid. Maxillopoda,1.7000000000000002
Northern Shoveler,Unid. Ostracoda,2.8344444444444443
Northern Shoveler,Unid. Tracheophyta,25.90000000000001
Northern Pintail,Alismatales [water plantains and allies],3.5089999999999995
Northern Pintail,Diptera [flies],3.684
